time_ms,temp_bme,pressure_hpa,altitude_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_sht,humidity
49,20.79,967.10,391.52,-1.60,0.04,7.59,0.11,-0.05,-0.22,19.76,65.48
605,20.72,967.09,391.59,-2.27,0.27,7.78,0.06,0.00,0.04,19.76,65.53
1161,20.70,967.05,391.91,-2.17,0.17,8.05,0.08,-0.07,-0.02,19.78,65.52
1717,20.71,967.08,391.69,-2.26,0.39,7.97,0.06,-0.02,0.01,19.79,65.53
2273,20.68,967.06,391.82,-1.82,0.51,8.16,0.17,-0.07,-0.45,19.79,65.53
2829,20.68,967.07,391.78,-2.45,1.23,8.24,-0.09,-0.04,-0.05,19.76,65.49
3386,20.66,967.10,391.61,-2.32,0.23,8.11,0.09,-0.05,-0.14,19.76,65.43
3941,20.66,967.06,391.85,-2.24,0.27,8.14,0.08,-0.04,-0.03,19.76,65.42
4496,20.65,967.06,391.83,-2.10,0.21,7.88,0.07,-0.03,-0.02,19.76,65.38
5051,20.63,967.07,391.81,-2.20,0.34,7.97,0.05,-0.02,-0.04,19.76,65.35
5606,20.62,967.05,391.98,-2.59,1.68,9.65,0.71,-0.28,0.08,19.76,65.39
6161,20.59,967.03,392.11,-5.50,6.57,9.28,2.82,-0.37,1.04,19.73,65.41
6716,20.54,967.01,392.27,0.02,9.10,1.61,-0.24,-0.67,-0.46,19.73,65.41
7284,20.52,967.02,392.25,0.08,10.60,0.91,-0.21,0.49,-0.11,19.73,65.41
7841,20.51,967.04,392.05,-1.08,4.09,6.43,-0.58,0.62,-0.59,19.73,65.46
8396,20.49,967.05,391.95,-1.64,5.47,-1.83,0.64,-0.79,0.02,19.73,65.52
8951,20.49,967.05,391.93,-2.64,1.90,8.75,0.76,-1.43,0.38,19.86,65.64
9506,20.49,967.09,391.60,-5.75,4.05,6.05,-0.64,-0.70,0.23,20.34,66.13
10061,20.49,967.05,391.98,-4.84,-0.54,6.93,-0.46,-0.78,-0.58,21.81,67.95
