time_ms,temp_bme,pressure_hpa,altitude_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_sht,humidity
49,18.96,967.29,389.91,-2.40,-0.51,8.01,0.07,-0.03,-0.03,18.64,71.21
608,19.05,967.31,389.70,-2.31,-0.50,7.86,0.06,-0.02,-0.03,18.65,71.27
1168,19.10,967.33,389.52,-2.49,-0.43,8.00,0.07,-0.03,-0.03,18.65,71.32
1728,19.13,967.33,389.54,-2.41,-0.49,8.02,0.07,-0.03,-0.03,18.64,71.35
2288,19.16,967.34,389.46,-2.30,-0.48,7.83,0.07,-0.02,-0.03,18.64,71.31
2848,19.17,967.34,389.44,-2.43,-0.42,8.00,0.06,-0.03,-0.03,18.63,71.25
3410,19.19,967.35,389.36,-2.49,-0.56,8.09,0.07,-0.03,-0.03,18.65,71.21
3970,19.20,967.34,389.43,-2.46,-0.49,8.04,0.07,-0.03,-0.03,18.67,71.30
4530,19.21,967.35,389.36,-2.43,-0.50,8.03,0.07,-0.03,-0.03,18.67,71.39
5090,19.23,967.34,389.43,-2.42,-0.46,8.01,0.06,-0.03,-0.03,18.68,71.54
5650,19.24,967.35,389.33,-2.35,-0.45,7.95,0.06,-0.02,-0.03,18.67,71.62
6210,19.24,967.36,389.24,-2.48,-0.55,7.99,0.06,-0.04,-0.03,18.67,71.67
6770,19.25,967.36,389.28,-2.40,-0.53,7.99,0.07,-0.02,-0.03,18.67,71.65
7332,19.25,967.36,389.29,-2.49,-0.51,7.96,0.07,-0.04,-0.03,18.65,71.58
7892,19.26,967.34,389.40,-2.44,-0.47,8.06,0.06,-0.03,-0.03,18.67,71.48
8452,19.26,967.34,389.48,-2.38,-0.46,7.89,0.07,-0.02,-0.03,18.67,71.41
9012,19.26,967.34,389.43,-2.44,-0.54,8.03,0.06,-0.03,-0.03,18.67,71.31
9572,19.26,967.34,389.43,-2.48,-0.51,8.00,0.07,-0.03,-0.03,18.67,71.23
10132,19.26,967.34,389.48,-2.41,-0.52,7.97,0.07,-0.03,-0.03,18.67,71.13
10692,19.27,967.34,389.48,-2.49,-0.55,8.03,0.07,-0.03,-0.03,18.67,71.00
11254,19.27,967.35,389.40,-2.44,-0.43,8.02,0.07,-0.04,-0.03,18.70,70.97
11814,19.27,967.35,389.33,-2.42,-0.48,8.02,0.07,-0.03,-0.03,18.67,70.97
12374,19.28,967.35,389.31,-2.39,-0.53,7.95,0.06,-0.03,-0.03,18.68,70.90
12934,19.28,967.35,389.35,-2.58,-0.49,8.12,0.07,-0.06,-0.03,18.68,70.92
13494,19.29,967.36,389.31,-2.28,-0.47,8.08,0.07,-0.02,-0.03,18.71,70.88
14054,19.30,967.36,389.29,-2.31,-0.53,7.86,0.07,-0.02,-0.03,18.67,70.92
14614,19.32,967.36,389.29,-2.30,-0.43,7.98,0.06,-0.04,-0.02,18.70,70.94
15176,19.36,967.37,389.17,-2.46,-0.44,7.92,0.07,-0.04,-0.03,18.71,71.07
15736,19.39,967.37,389.15,-2.40,-0.43,8.05,0.07,-0.02,-0.03,18.71,71.18
16296,19.41,967.37,389.14,-2.39,-0.38,8.01,0.05,-0.03,-0.05,18.72,71.33
16856,19.41,967.37,389.22,-2.37,-0.27,7.87,0.10,-0.03,-0.04,18.74,71.52
17416,19.41,967.36,389.27,-2.54,-0.25,8.06,0.03,-0.04,-0.02,18.75,71.63
