time_ms,temp_bme,pressure_hpa,altitude_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_sht,humidity
49,21.39,967.00,392.40,-2.69,-0.07,7.85,0.07,-0.03,-0.04,21.07,70.32
608,21.40,967.03,392.16,-2.55,-0.18,7.92,0.07,-0.02,-0.03,21.06,70.20
1168,21.41,967.03,392.08,-2.59,-0.10,7.86,0.06,-0.02,-0.04,21.06,69.75
1728,21.40,967.05,391.91,-2.63,-0.12,7.88,0.07,-0.03,-0.03,21.04,69.29
2288,21.40,967.03,392.08,-2.54,-0.15,7.96,0.06,-0.03,-0.03,21.04,68.77
2848,21.40,967.05,391.91,-2.62,-0.16,7.96,0.07,-0.02,-0.04,21.01,68.42
3410,21.40,967.06,391.87,-2.70,-0.13,8.03,0.06,-0.03,-0.03,21.03,68.02
3970,21.40,967.05,391.91,-2.67,-0.16,8.01,0.07,-0.03,-0.03,21.03,67.69
4530,21.39,967.08,391.73,-2.59,-0.18,7.96,0.06,-0.02,-0.04,21.01,67.34
5090,21.38,967.07,391.78,-2.63,-0.11,7.97,0.06,-0.02,-0.03,21.01,67.00
5650,21.38,967.05,391.92,-2.60,-0.12,7.88,0.07,-0.03,-0.04,21.01,66.66
6210,21.36,967.06,391.85,-2.61,-0.11,7.93,0.07,-0.03,-0.04,21.00,66.32
6770,21.36,967.07,391.77,-2.59,-0.11,7.89,0.06,-0.02,-0.04,21.01,66.08
7332,21.36,967.08,391.71,-2.64,-0.08,7.88,0.07,-0.02,-0.04,20.97,65.80
7892,21.36,967.02,392.18,-2.58,-0.17,7.86,0.06,-0.02,-0.03,20.97,65.56
8452,21.35,967.07,391.76,-2.69,-0.11,7.88,0.07,-0.02,-0.03,20.97,65.38
9012,21.34,967.06,391.89,-2.61,-0.14,7.92,0.07,-0.03,-0.03,20.99,65.17
9572,21.34,967.07,391.78,-2.60,-0.09,7.91,0.07,-0.03,-0.03,20.97,65.01
10132,21.34,967.08,391.72,-2.65,-0.17,7.86,0.07,-0.02,-0.03,20.97,64.83
10692,21.34,967.08,391.72,-2.55,-0.11,7.86,0.06,-0.03,-0.03,20.97,64.67
11254,21.34,967.04,392.01,-2.60,-0.11,8.02,0.07,-0.03,-0.04,20.99,64.56
11814,21.33,967.03,392.08,-2.65,-0.12,7.99,0.07,-0.03,-0.03,20.94,64.43
12374,21.34,967.05,391.97,-2.67,-0.10,7.87,0.07,-0.03,-0.04,20.97,64.33
12934,21.33,967.06,391.88,-2.66,-0.10,7.94,0.07,-0.03,-0.04,20.94,64.19
13494,21.34,967.06,391.83,-2.62,-0.17,7.95,0.06,-0.03,-0.04,20.91,64.12
14054,21.33,967.05,391.94,-2.64,-0.11,7.95,0.07,-0.03,-0.04,20.96,64.01
14614,21.33,967.05,391.94,-2.56,-0.18,7.87,0.07,-0.02,-0.04,20.93,63.90
15176,21.33,967.04,392.03,-2.64,-0.10,7.90,0.07,-0.04,-0.03,20.96,63.85
15736,21.33,967.04,392.05,-2.62,-0.10,7.92,0.07,0.00,-0.04,20.97,63.75
16296,21.33,967.05,391.99,-2.73,-0.11,8.01,0.07,-0.12,-0.04,20.93,63.66
16856,21.33,967.05,391.99,-2.70,-0.10,7.86,0.07,-0.02,-0.04,20.94,63.53
17416,21.33,967.02,392.24,-2.83,-0.08,7.86,0.07,0.08,-0.04,20.96,63.45
17976,21.33,967.03,392.11,-2.63,-0.13,7.99,0.07,0.08,-0.04,20.93,63.36
