time_ms,temp_bme,pressure_hpa,altitude_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_sht,humidity
49,19.98,967.28,389.97,-0.35,-4.58,8.33,-0.44,-1.55,-0.32,19.59,74.38
608,20.07,967.31,389.71,2.84,-0.91,6.25,0.14,-0.71,-0.18,19.58,74.47
1168,20.11,967.31,389.68,3.11,-1.51,6.29,-2.30,-1.69,-2.53,19.57,74.37
1728,20.13,967.31,389.71,-1.79,-5.69,10.16,-0.20,-0.91,0.04,19.57,74.22
2288,20.15,967.32,389.61,0.55,-2.40,7.22,0.51,1.01,1.20,19.57,74.13
2848,20.17,967.32,389.59,-0.74,-1.99,8.14,-0.35,0.10,0.76,19.58,73.98
3410,20.18,967.33,389.55,-1.41,0.73,7.21,-0.55,-0.65,0.27,19.59,73.89
3970,20.19,967.32,389.64,5.44,0.67,5.96,-0.71,-2.14,-0.01,19.59,73.82
4530,20.20,967.32,389.62,-5.81,-0.81,6.39,1.02,1.40,-1.97,19.58,73.79
5090,20.20,967.31,389.73,4.64,0.91,7.09,1.13,-1.50,0.97,19.58,73.76
5650,20.20,967.30,389.76,-1.77,1.88,6.01,1.65,0.49,-1.55,19.57,73.67
6210,20.20,967.31,389.67,2.22,1.24,9.37,-0.96,4.37,2.99,19.58,73.58
6770,20.20,967.31,389.68,0.50,6.22,1.76,-0.31,-1.67,0.55,19.59,73.49
7330,20.19,967.31,389.72,-4.19,-2.12,9.97,-0.65,0.78,-0.65,19.58,73.34
7892,20.18,967.31,389.69,0.32,3.53,0.91,-0.40,-1.30,-0.31,19.55,73.06
8452,20.18,967.30,389.77,9.53,-0.17,4.56,0.16,4.37,1.87,19.54,72.84
9012,20.18,967.31,389.74,-15.60,-0.62,4.06,1.83,-4.37,-0.25,19.52,72.56
9572,20.17,967.31,389.66,4.02,-0.57,7.80,-0.35,4.37,-0.46,19.54,72.31
10132,20.16,967.30,389.75,-9.87,1.11,13.59,3.37,1.07,2.25,19.52,72.07
10692,20.16,967.30,389.81,1.05,4.01,-0.26,-4.37,-0.86,-0.65,19.52,71.90
11252,20.13,967.29,389.84,-0.83,-13.17,4.14,0.44,-0.11,0.56,19.52,71.69
11814,20.10,967.30,389.76,-6.47,6.14,6.60,2.14,0.23,0.53,19.51,71.50
12374,20.09,967.30,389.80,0.81,-8.03,4.81,-2.94,-0.13,-0.33,19.48,71.33
12934,20.06,967.31,389.70,-3.17,-2.19,7.36,2.93,-0.71,0.21,19.47,71.11
13494,20.05,967.32,389.64,9.01,1.04,6.34,-0.09,3.87,0.02,19.48,70.96
14054,20.06,967.32,389.57,-11.42,0.34,4.26,1.38,-2.81,-0.81,19.48,70.82
14614,20.06,967.33,389.54,7.72,1.81,3.03,1.22,-0.42,0.60,19.48,70.80
15174,20.06,967.33,389.53,-8.88,0.18,2.83,1.12,0.97,-1.37,19.45,70.74
15736,20.06,967.33,389.54,-4.65,-0.43,7.99,0.19,-0.36,-0.01,19.45,70.72
16296,20.07,967.33,389.56,0.93,1.49,7.52,-0.28,1.70,-0.50,19.48,70.70
16856,20.07,967.33,389.51,-10.65,-2.68,6.06,3.06,-2.07,-4.37,19.49,70.71
17416,20.08,967.33,389.49,-3.89,-1.78,9.85,-0.27,0.36,4.37,19.47,70.78
17976,20.09,967.34,389.45,-8.32,-1.46,7.89,-0.73,-0.27,0.78,19.48,70.85
18536,20.09,967.32,389.58,0.45,-0.85,-4.90,2.82,-1.28,0.93,19.49,70.91
19096,20.10,967.31,389.68,0.99,-0.06,-4.61,2.08,-1.76,1.16,19.49,71.00
19658,20.09,967.31,389.67,-7.05,-5.24,3.85,-0.72,-1.08,4.37,19.47,71.01
20218,20.09,967.34,389.47,-14.72,-7.16,3.07,-1.06,-1.67,4.37,19.48,70.99
20778,20.09,967.34,389.44,-18.17,-3.68,0.51,-0.83,-0.69,3.99,19.49,70.95
21338,20.10,967.34,389.40,-11.64,-1.25,6.68,-0.01,-0.31,0.59,19.52,70.95
21898,20.10,967.34,389.42,-5.51,-0.54,5.99,0.75,-1.39,-0.14,19.51,70.89
22458,20.11,967.35,389.38,0.00,-2.82,7.57,0.38,0.11,2.32,19.54,70.97
23018,20.13,967.35,389.36,-3.51,1.62,7.98,-0.23,0.23,0.56,19.54,71.10
