time_ms,temp_bme,pressure_hpa,altitude_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_sht,humidity
48,26.44,1011.70,12.94,-0.14,0.26,10.13,-0.04,0.02,-0.02,26.15,50.00
604,26.45,1011.71,12.82,-0.18,0.19,10.15,-0.04,0.02,-0.02,26.15,49.94
1160,26.45,1011.71,12.85,-0.15,0.23,10.08,-0.04,0.02,-0.02,26.16,49.87
1716,26.45,1011.70,12.88,-0.20,0.18,10.17,-0.04,0.02,-0.02,26.16,49.84
2272,26.45,1011.73,12.68,-0.22,0.23,10.18,-0.04,0.02,-0.02,26.18,49.79
2828,26.45,1011.71,12.86,-0.17,0.21,10.17,-0.04,0.02,-0.02,26.13,49.78
3385,26.44,1011.70,12.94,-0.17,0.20,10.17,-0.04,0.02,-0.02,26.18,49.74
3940,26.44,1011.70,12.88,-0.15,0.25,10.17,-0.04,0.02,-0.02,26.16,49.69
4495,26.45,1011.70,12.91,-0.15,0.27,10.10,-0.04,0.02,-0.02,26.18,49.68
5050,26.44,1011.71,12.82,-0.22,0.18,10.13,-0.04,0.02,-0.02,26.16,49.65
5605,26.44,1011.68,13.11,-0.20,0.25,10.25,-0.04,0.02,-0.02,26.15,49.62
6160,26.44,1011.69,13.02,-0.12,0.25,10.15,-0.04,0.02,-0.02,26.18,49.65
6715,26.45,1011.70,12.95,-0.65,0.10,10.18,-0.07,0.04,-0.34,26.18,49.76
7272,26.45,1011.71,12.83,-0.20,0.13,10.23,-0.04,0.02,-0.02,26.18,49.81
7827,26.45,1011.71,12.86,-0.16,0.18,9.84,-0.03,0.05,-0.02,26.16,49.94
8382,26.45,1011.70,12.92,0.56,-0.18,10.17,-0.02,0.03,-0.53,26.19,50.03
8937,26.45,1011.69,12.98,-1.24,-0.63,10.09,0.06,0.11,-0.63,26.15,50.48
9492,26.45,1011.69,12.99,-0.15,0.02,9.95,0.01,0.26,-0.02,26.18,51.05
10047,26.46,1011.69,12.99,-0.06,1.32,10.36,0.20,0.22,-0.09,26.16,51.43
10602,26.46,1011.71,12.87,2.32,-0.58,10.57,-0.04,0.50,-0.02,26.16,51.57
11159,26.46,1011.71,12.80,0.60,0.51,9.99,-0.04,0.01,0.02,26.18,51.51
11714,26.46,1011.72,12.75,0.54,0.48,10.14,-0.04,0.04,-0.02,26.16,51.49
12269,26.45,1011.73,12.70,0.56,0.39,10.03,-0.04,0.05,-0.03,26.16,51.37
12824,26.46,1011.70,12.90,0.64,0.43,10.09,-0.04,0.01,-0.02,26.19,51.27
13379,26.46,1011.70,12.90,0.57,0.41,10.08,-0.04,-0.00,-0.03,26.18,51.21
13934,26.46,1011.71,12.81,0.43,1.64,10.41,0.28,0.70,-0.19,26.18,51.15
14489,26.46,1011.70,12.90,-1.35,-0.79,9.37,-0.32,-0.02,0.37,26.18,51.08
15044,26.46,1011.70,12.95,2.87,-1.66,8.64,-0.26,0.25,-0.93,26.16,51.00
15601,26.43,1011.65,13.34,2.92,-1.47,8.68,-0.78,0.62,0.19,26.12,50.82
16156,26.42,1011.63,13.46,3.40,-5.04,8.05,0.10,-0.98,-0.02,26.15,50.74
16711,26.41,1011.59,13.85,7.46,-4.55,5.50,1.34,-2.29,-0.17,26.12,50.56
17266,26.41,1011.61,13.66,8.34,-1.59,-2.84,-1.16,-0.37,-0.52,26.15,50.38
17821,26.40,1011.63,13.46,0.51,0.01,8.11,0.05,4.37,-0.56,26.10,50.33
