time_ms,temp_bme,pressure_hpa,altitude_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_sht,humidity
49,21.59,967.00,392.36,-0.74,2.27,8.43,0.46,-0.59,0.09,19.73,67.96
605,21.56,966.96,392.74,1.46,3.23,8.58,0.07,-0.26,-0.04,19.75,67.85
1161,21.58,966.99,392.47,-1.03,3.05,7.85,-0.22,-0.27,-0.15,19.73,67.80
1717,21.57,967.01,392.33,0.36,1.32,7.73,0.71,0.61,-0.68,19.76,67.87
2273,21.52,967.02,392.23,-1.65,0.39,7.68,-2.07,1.07,0.08,19.76,68.04
2829,21.49,966.98,392.53,-0.87,-1.44,7.90,0.26,-0.26,-0.02,19.76,68.31
3386,21.45,966.97,392.61,-1.72,-2.04,8.74,-0.41,0.14,0.08,19.78,68.47
3941,21.45,966.97,392.66,2.22,-3.01,7.62,0.05,-0.00,0.06,19.81,68.80
4496,21.42,967.01,392.33,2.66,-1.81,6.32,1.28,-0.58,0.44,19.82,69.24
5051,21.38,967.00,392.42,-1.59,-2.40,8.68,0.15,0.32,0.03,19.83,69.68
5606,21.32,967.01,392.30,-1.19,-2.58,7.70,0.33,0.48,0.09,19.81,69.98
6161,21.29,967.01,392.31,-1.20,-2.35,8.01,0.07,-0.04,-0.01,19.81,70.03
6716,21.27,967.01,392.26,-1.44,-2.27,8.15,0.06,0.02,-0.06,19.78,69.92
7271,21.23,967.00,392.37,-1.24,-2.38,8.00,0.09,-0.01,-0.01,19.76,69.70
7828,21.20,967.01,392.32,-1.18,-2.27,7.93,0.06,-0.08,-0.00,19.75,69.36
8383,21.17,967.00,392.37,-1.19,-2.30,8.05,0.07,-0.01,-0.04,19.76,69.04
8938,21.14,967.00,392.42,-1.16,-2.45,8.15,0.07,-0.03,-0.04,19.75,68.76
9493,21.11,966.99,392.46,-1.80,-2.30,8.12,-0.00,0.08,-0.20,19.71,68.49
